SNS1_1,SNS1_2,SNS1_3,SNS1_4,SNS1_5,SNS1_6,SNS1_7,SNS1_8,POST1A,POST1B,POST1C,POST1D,POST1E,POST2_1,POST2_2,POST2_3,POST2_4,POST2_5,POST2_6,POST2_7,POST2_8,SOC2POSA,SOC2POSB,SOC2POSC,SOC2POSD,SOC2NEGA,SOC2NEGB,SOC2NEGC,SOC2NEGD,AGE,DURATION
0,1,1,1,1,0,0,0,4,4,2,4,4,1,0,1,0,0,0,0,0,3,3,2,3,2,2,2,1,17,16.96666667
1,1,1,1,1,0,0,0,3,3,2,2,2,1,0,1,0,0,0,0,0,1,2,2,2,2,2,2,2,13,5.55
1,1,1,1,1,0,0,0,2,2,4,2,2,0,1,0,1,1,0,1,0,3,1,2,2,2,2,3,2,17,11.5
0,1,1,1,1,0,0,0,1,1,3,1,1,0,0,1,0,0,0,1,0,1,1,1,1,3,3,1,3,17,15.15
0,0,0,0,1,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,14,9.166666667
1,1,1,1,1,1,0,0,1,2,2,4,3,1,1,1,1,1,0,1,0,2,2,1,1,2,3,2,1,16,21.13333333
0,1,0,0,1,0,0,0,3,3,2,3,3,1,0,1,0,0,0,0,0,1,1,1,2,3,3,3,3,14,6.866666667
0,1,0,1,1,0,0,0,4,4,4,3,4,1,1,1,0,0,0,0,0,2,1,2,3,2,3,3,3,13,19.1
1,1,0,1,1,0,0,0,3,4,2,2,4,1,1,1,0,0,1,1,0,2,1,2,2,3,3,3,2,17,15.78333333
1,1,0,1,1,1,0,0,4,4,4,2,4,0,0,0,0,0,0,0,1,3,2,2,3,3,3,3,2,13,10.76666667
0,1,0,1,1,0,1,0,4,2,3,2,4,1,0,0,0,1,0,1,0,1,1,1,1,1,3,2,3,16,15.96666667
0,1,0,1,1,0,0,0,4,4,4,4,4,1,0,1,0,0,0,0,0,3,3,3,3,3,3,3,3,17,9.016666667
0,1,1,1,1,0,0,0,2,3,2,2,3,1,0,0,0,1,0,1,0,1,2,1,2,1,1,1,1,17,19.53333333
1,1,1,1,1,0,0,0,1,1,2,3,2,1,0,1,0,0,0,1,0,1,1,1,1,3,2,2,2,15,9.5
0,0,1,1,1,0,0,0,2,3,3,3,4,1,1,1,0,0,0,0,0,2,2,2,2,3,2,3,3,14,11.9
0,1,0,1,1,0,0,0,3,4,4,3,4,0,0,0,0,0,0,0,1,2,1,2,2,3,2,3,3,14,8.633333333
0,1,1,1,1,0,0,0,1,2,2,4,4,1,0,0,0,0,0,0,0,2,3,2,2,3,3,3,3,13,23.68333333
0,0,1,0,0,0,0,0,1,2,2,2,2,0,1,1,0,0,0,1,0,2,1,2,2,3,2,3,2,16,54.8
0,1,0,1,1,0,0,0,3,2,3,2,3,1,0,1,0,0,0,0,0,3,2,3,2,3,3,3,3,13,18.4
1,1,0,1,1,0,0,0,1,1,2,2,4,1,1,1,0,0,0,1,0,1,1,1,1,3,1,1,2,15,16.2
0,0,1,0,1,0,0,0,3,4,3,4,4,0,1,1,0,0,0,0,0,3,3,2,2,3,3,3,3,16,19.11666667
0,1,1,1,1,0,0,0,2,3,2,2,3,1,0,1,1,1,0,1,0,2,3,2,2,2,1,3,3,17,8.016666667
0,0,1,0,1,0,0,0,2,4,4,3,4,0,1,1,0,0,0,1,0,3,3,3,3,3,3,3,3,17,27.3
1,1,1,1,1,1,0,0,2,4,2,2,2,1,1,1,1,0,0,1,0,2,2,2,2,1,1,1,1,15,7.516666667
